2025-08-11 18:06:21.995 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: Do you have any recommendations for summer fashion?
2025-08-11 18:06:21.998 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:06:22.000 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:06:22.000 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 1.0)
2025-08-11 18:06:23.006 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: I'm so excited about the new season!
2025-08-11 18:06:23.009 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:06:23.010 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:06:23.011 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 1.0)
2025-08-11 18:06:23.013 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation fashion_conv_001: That looks interesting! Tell me more.
2025-08-11 18:06:23.014 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:06:24.035 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: I need a new smartphone
2025-08-11 18:06:24.036 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new conversation context: tech_conv_001
2025-08-11 18:06:24.037 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation tech_conv_001: mood=POSITIVE, intents=[technology]
2025-08-11 18:06:24.037 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:06:24.037 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation tech_conv_001: Latest Smartphone (score: 0.5700000000000001)
2025-08-11 18:06:25.044 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: I'm researching the latest features
2025-08-11 18:06:25.047 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation tech_conv_001: mood=POSITIVE, intents=[technology, research]
2025-08-11 18:06:25.047 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:06:25.048 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation tech_conv_001: Latest Smartphone (score: 0.5700000000000001)
2025-08-11 18:06:26.055 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: What's the best phone for photography?
2025-08-11 18:06:26.056 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation tech_conv_001: mood=POSITIVE, intents=[technology, research]
2025-08-11 18:06:26.058 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:06:26.058 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation tech_conv_001: Latest Smartphone (score: 0.5700000000000001)
2025-08-11 18:06:27.064 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: I'm curious about the new AI features
2025-08-11 18:06:27.076 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation tech_conv_001: mood=CURIOUS, intents=[technology, research]
2025-08-11 18:06:27.077 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:06:27.078 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation tech_conv_001: Latest Smartphone (score: 0.81)
2025-08-11 18:06:27.078 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation tech_conv_001: That looks interesting! Tell me more.
2025-08-11 18:06:27.078 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:06:28.083 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation travel_conv_001: I'm planning a vacation
2025-08-11 18:06:28.084 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new conversation context: travel_conv_001
2025-08-11 18:06:28.086 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation travel_conv_001: mood=POSITIVE, intents=[travel]
2025-08-11 18:06:28.087 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv_001
2025-08-11 18:06:28.087 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation travel_conv_001: Dream Vacation (score: 0.4)
2025-08-11 18:06:29.097 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation travel_conv_001: I want to go somewhere amazing
2025-08-11 18:06:29.101 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation travel_conv_001: mood=POSITIVE, intents=[travel]
2025-08-11 18:06:29.103 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv_001
2025-08-11 18:06:29.103 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation travel_conv_001: Dream Vacation (score: 0.4)
2025-08-11 18:06:30.110 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation travel_conv_001: Looking for travel deals and destinations
2025-08-11 18:06:30.115 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation travel_conv_001: mood=POSITIVE, intents=[travel]
2025-08-11 18:06:30.116 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv_001
2025-08-11 18:06:30.118 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation travel_conv_001: Dream Vacation (score: 0.4)
2025-08-11 18:06:31.122 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation travel_conv_001: I'm so excited about my upcoming trip!
2025-08-11 18:06:31.124 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation travel_conv_001: mood=POSITIVE, intents=[travel]
2025-08-11 18:06:31.124 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv_001
2025-08-11 18:06:31.125 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation travel_conv_001: Dream Vacation (score: 0.4)
2025-08-11 18:06:31.125 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation travel_conv_001: That looks interesting! Tell me more.
2025-08-11 18:06:31.126 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation travel_conv_001
2025-08-11 18:11:02.099 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:11:02.104 [main] INFO  c.a.engine.ConversationManager - Created new user state: perf_user
2025-08-11 18:11:02.107 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user perf_user: interests=[technology, fashion, travel], blocked=[gambling]
2025-08-11 18:11:02.107 [main] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation perf_conv: I need a new smartphone
2025-08-11 18:11:02.124 [main] INFO  c.a.engine.ConversationManager - Created new conversation context: perf_conv
2025-08-11 18:11:02.131 [main] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation perf_conv: mood=EXCITED, intents=[technology]
2025-08-11 18:11:02.133 [main] INFO  c.a.engine.AdMatchingEngine - Found 2 relevant ads for conversation perf_conv
2025-08-11 18:11:02.134 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation perf_conv: Latest Smartphone (score: 0.8400000000000001) in 27ms
2025-08-11 18:11:02.138 [main] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation perf_conv: I need a new smartphone
2025-08-11 18:11:02.138 [main] DEBUG c.a.e.ConversationalAdRelevanceEngine - Cache hit for conversation perf_conv
2025-08-11 18:11:02.139 [main] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:11:02.140 [main] INFO  c.a.engine.ConversationManager - Created new user state: concurrent_user
2025-08-11 18:11:02.140 [main] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user concurrent_user: interests=[technology, fashion], blocked=[]
2025-08-11 18:11:02.143 [pool-3-thread-1] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation concurrent_conv: I need a new smartphone
2025-08-11 18:11:02.144 [pool-3-thread-3] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation concurrent_conv: What's the best phone for photography?
2025-08-11 18:11:02.145 [pool-3-thread-4] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation concurrent_conv: I love trendy styles
2025-08-11 18:11:02.144 [pool-3-thread-2] DEBUG c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation concurrent_conv: I'm looking for summer clothes
2025-08-11 18:11:02.147 [pool-3-thread-1] INFO  c.a.engine.ConversationManager - Created new conversation context: concurrent_conv
2025-08-11 18:11:02.149 [pool-3-thread-3] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation concurrent_conv: mood=POSITIVE, intents=[technology]
2025-08-11 18:11:02.149 [pool-3-thread-2] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation concurrent_conv: mood=POSITIVE, intents=[technology]
